invoice_id,customer_id,customer_name,business_segment,invoice_date,invoice_amount,credit_limit,credit_used,due_date,payment_terms_days,grace_period_days,handover_date,payment_date,handover_eligibility
FDX20251020136,CUST770487,Carlson Ltd,Small,2026-01-04,4639,22522,7267,2026-01-14,10,7,2026-01-21,,IN_GRACE
FDX20258239315,CUST216739,Alvarado-Burns,Small,2025-12-27,52865,161282,140319,2026-01-06,10,7,2026-01-13,2026-01-13,RESOLVED_IN_GRACE
FDX20259758448,CUST126225,Mendez-Brown,Large,2025-12-15,50641,141120,61541,2026-01-09,25,20,2026-01-29,,ELIGIBLE
FDX20258057906,CUST877572,"Strong, Beck and Briggs",Small,2025-12-23,55106,223408,166289,2026-01-02,10,7,2026-01-09,2026-01-03,RESOLVED_IN_GRACE
FDX20257213902,CUST388389,Beard-Chavez,Small,2026-01-04,28715,81016,67081,2026-01-14,10,7,2026-01-21,,ELIGIBLE
FDX20251728773,CUST356787,"Salazar, Weaver and Williams",Small,2026-01-11,31625,104296,65431,2026-01-21,10,7,2026-01-28,,ELIGIBLE
FDX20259888846,CUST334053,Fernandez Group,Small,2026-01-06,53128,198979,187940,2026-01-16,10,7,2026-01-23,2026-01-17,RESOLVED_IN_GRACE
FDX20258196691,CUST246316,Brock-Morales,Large,2025-12-04,10630,32323,18199,2025-12-29,25,20,2026-01-18,,IN_GRACE
FDX20254850140,CUST872246,Coleman-Hernandez,Mid,2026-01-04,1579,4331,3856,2026-01-19,15,12,2026-01-31,,IN_GRACE
FDX20259088689,CUST207473,Saunders-Brewer,Large,2025-12-01,35054,105976,60379,2025-12-26,25,20,2026-01-15,2026-01-12,RESOLVED_IN_GRACE
FDX20257396087,CUST809570,Allen-Walls,Small,2026-01-12,57447,223034,155873,2026-01-22,10,7,2026-01-29,,IN_GRACE
FDX20256880713,CUST876646,Gonzalez-Reynolds,Large,2025-12-02,56039,290295,219746,2025-12-27,25,20,2026-01-16,,IN_GRACE
FDX20252639417,CUST671858,Montgomery-Pham,Small,2025-12-31,4857,25409,20522,2026-01-10,10,7,2026-01-17,,IN_GRACE
FDX20258138527,CUST191161,Mitchell-Schneider,Small,2025-12-28,9879,37584,31959,2026-01-07,10,7,2026-01-14,,IN_GRACE
FDX20253246185,CUST719176,Mccarty-White,Small,2025-12-30,15790,44296,17800,2026-01-09,10,7,2026-01-16,,ELIGIBLE
FDX20255270103,CUST542417,Camacho-Cortez,Small,2026-01-05,18781,81345,53464,2026-01-15,10,7,2026-01-22,,IN_GRACE
FDX20259005101,CUST133326,Stewart PLC,Mid,2026-01-01,9683,56568,54002,2026-01-16,15,12,2026-01-28,,ELIGIBLE
FDX20254900918,CUST131244,Diaz-Fields,Mega,2025-12-01,59759,271609,224410,2026-01-05,35,30,2026-02-04,,ELIGIBLE
FDX20252406225,CUST198246,Miranda-Stephens,Large,2025-12-07,17557,85057,71649,2026-01-01,25,20,2026-01-21,,ELIGIBLE
FDX20255752426,CUST329258,Munoz-Torres,Mid,2025-12-23,57603,239113,140705,2026-01-07,15,12,2026-01-19,,IN_GRACE
FDX20257855954,CUST343962,"Mathis, Morales and English",Small,2025-12-25,48989,232307,67393,2026-01-04,10,7,2026-01-11,,IN_GRACE
FDX20255325249,CUST629903,Espinoza Inc,Small,2025-12-30,41208,139327,57781,2026-01-09,10,7,2026-01-16,,IN_GRACE
FDX20254171246,CUST731262,Jackson-Pena,Small,2026-01-10,6206,32892,24128,2026-01-20,10,7,2026-01-27,,ELIGIBLE
FDX20251091762,CUST127824,Stone-Moore,Small,2025-12-30,10426,35220,11113,2026-01-09,10,7,2026-01-16,,ELIGIBLE
FDX20251119354,CUST688508,"Browning, Cook and Jones",Small,2025-12-31,28413,98992,39109,2026-01-10,10,7,2026-01-17,,ELIGIBLE
FDX20259766777,CUST308496,Diaz-Jones,Mid,2025-12-13,35989,185292,140226,2025-12-28,15,12,2026-01-09,2026-01-02,RESOLVED_IN_GRACE
FDX20252976835,CUST850800,Krause-Mullen,Mid,2025-12-25,9466,55167,34658,2026-01-09,15,12,2026-01-21,,ELIGIBLE
FDX20259720156,CUST781453,Orr-Kim,Small,2026-01-10,5637,21410,19210,2026-01-20,10,7,2026-01-27,,IN_GRACE
FDX20251120696,CUST835392,"Strickland, Lyons and Shaw",Mid,2025-12-15,3404,11058,4957,2025-12-30,15,12,2026-01-11,,ELIGIBLE
FDX20257291957,CUST671412,Rogers-Adams,Large,2025-12-11,28596,105804,43848,2026-01-05,25,20,2026-01-25,,IN_GRACE
FDX20254446353,CUST539898,Mcclure-Santos,Small,2025-12-30,46738,231234,206003,2026-01-09,10,7,2026-01-16,2026-01-11,RESOLVED_IN_GRACE
FDX20256299951,CUST331148,Rich-Bennett,Small,2026-01-05,29258,139564,54066,2026-01-15,10,7,2026-01-22,,ELIGIBLE
FDX20257859282,CUST571029,"Mueller, Holden and Elliott",Mid,2025-12-27,22266,133135,30932,2026-01-11,15,12,2026-01-23,2026-01-18,RESOLVED_IN_GRACE
FDX20257077878,CUST717889,Smith-Cook,Mid,2025-12-18,57049,263848,170962,2026-01-02,15,12,2026-01-14,,ELIGIBLE
FDX20252788169,CUST391704,Dickerson PLC,Small,2026-01-14,19451,50586,46864,2026-01-24,10,7,2026-01-31,,ELIGIBLE
FDX20253596753,CUST948749,Santiago-Francis,Mid,2025-12-25,17478,53351,32245,2026-01-09,15,12,2026-01-21,,ELIGIBLE
FDX20258148295,CUST106814,"Li, Whitaker and Thomas",Large,2025-12-15,52719,283160,227418,2026-01-09,25,20,2026-01-29,2026-01-12,RESOLVED_IN_GRACE
FDX20255255251,CUST895667,"Washington, Lane and Underwood",Mid,2025-12-29,48228,270402,240686,2026-01-13,15,12,2026-01-25,,ELIGIBLE
FDX20255383935,CUST944962,Lewis-Riley,Large,2025-12-01,16449,84283,40000,2025-12-26,25,20,2026-01-15,2026-01-06,RESOLVED_IN_GRACE
FDX20259994347,CUST267414,Vaughn-Clark,Mid,2025-12-23,10669,61645,20445,2026-01-07,15,12,2026-01-19,,ELIGIBLE
FDX20258106183,CUST832052,White-Smith,Small,2026-01-04,59532,315308,270568,2026-01-14,10,7,2026-01-21,,ELIGIBLE
FDX20257134489,CUST543143,Sanchez-Molina,Mid,2025-12-17,27866,129199,41195,2026-01-01,15,12,2026-01-13,2026-01-04,RESOLVED_IN_GRACE
FDX20255623138,CUST456778,Bond-Robinson,Large,2025-12-01,26438,145066,57947,2025-12-26,25,20,2026-01-15,,IN_GRACE
FDX20257668174,CUST391369,"Mitchell, Roman and Carr",Small,2026-01-12,31718,155732,65801,2026-01-22,10,7,2026-01-29,,ELIGIBLE
FDX20254417412,CUST263032,"Townsend, Villa and Garcia",Small,2026-01-08,41150,186991,84512,2026-01-18,10,7,2026-01-25,2026-01-20,RESOLVED_IN_GRACE
FDX20257932818,CUST325772,Cohen Ltd,Small,2026-01-12,22014,79284,62312,2026-01-22,10,7,2026-01-29,,ELIGIBLE
FDX20259094465,CUST900581,Bell-Morrow,Small,2025-12-23,28662,171480,96101,2026-01-02,10,7,2026-01-09,2026-01-05,RESOLVED_IN_GRACE
FDX20253998417,CUST452944,Flores-Osborne,Small,2026-01-11,21244,121298,57737,2026-01-21,10,7,2026-01-28,2026-01-28,RESOLVED_IN_GRACE
FDX20257211142,CUST207175,Banks-Wells,Small,2025-12-28,17773,96954,74029,2026-01-07,10,7,2026-01-14,,ELIGIBLE
FDX20259116148,CUST197251,Roach Inc,Small,2026-01-08,51749,271487,165783,2026-01-18,10,7,2026-01-25,,ELIGIBLE
FDX20255257682,CUST498382,"Maldonado, Rodriguez and Reynolds",Mid,2025-12-22,34746,101671,49969,2026-01-06,15,12,2026-01-18,,IN_GRACE
FDX20256144785,CUST201414,Cordova-Collins,Small,2026-01-08,6374,26063,13666,2026-01-18,10,7,2026-01-25,,ELIGIBLE
FDX20256777340,CUST476417,Winters LLC,Mid,2025-12-22,15969,42958,29930,2026-01-06,15,12,2026-01-18,,IN_GRACE
FDX20257679508,CUST988662,Parker-Hamilton,Mid,2026-01-01,18375,47530,38199,2026-01-16,15,12,2026-01-28,2026-01-28,RESOLVED_IN_GRACE
FDX20253316405,CUST460663,Neal-Hayden,Small,2025-12-25,35561,92116,56563,2026-01-04,10,7,2026-01-11,2026-01-09,RESOLVED_IN_GRACE
FDX20252997927,CUST733052,Mcguire-Jenkins,Small,2026-01-02,34247,148387,45410,2026-01-12,10,7,2026-01-19,,ELIGIBLE
FDX20254854922,CUST377370,Jordan-Gill,Small,2025-12-23,56609,229063,139777,2026-01-02,10,7,2026-01-09,,ELIGIBLE
FDX20258492618,CUST946335,Williams-Ferguson,Mid,2025-12-31,47537,209994,203206,2026-01-15,15,12,2026-01-27,2026-01-26,RESOLVED_IN_GRACE
FDX20253714471,CUST145561,"Liu, Kline and Crosby",Mid,2025-12-23,44748,126494,95689,2026-01-07,15,12,2026-01-19,,ELIGIBLE
FDX20252682396,CUST865179,Cook-Townsend,Small,2026-01-06,47283,161958,149518,2026-01-16,10,7,2026-01-23,,ELIGIBLE
FDX20254598010,CUST581741,Davis-Chapman,Mid,2025-12-29,33054,152187,95825,2026-01-13,15,12,2026-01-25,,IN_GRACE
FDX20259528589,CUST662275,Howell-Scott,Mid,2025-12-27,41460,117315,63969,2026-01-11,15,12,2026-01-23,,ELIGIBLE
FDX20257720296,CUST230889,Gonzalez-Duncan,Mid,2026-01-04,24852,137775,37692,2026-01-19,15,12,2026-01-31,,IN_GRACE
FDX20256678044,CUST496922,Rocha and Sons,Small,2025-12-30,46595,156318,48667,2026-01-09,10,7,2026-01-16,,ELIGIBLE
FDX20251873301,CUST182627,Wise-Brown,Small,2026-01-14,48242,190452,150523,2026-01-24,10,7,2026-01-31,2026-01-26,RESOLVED_IN_GRACE
FDX20253696736,CUST678856,Johnson-Stewart,Mid,2026-01-01,32168,102479,47402,2026-01-16,15,12,2026-01-28,,ELIGIBLE
FDX20257528076,CUST407419,Zimmerman-Walters,Mega,2025-12-01,28530,94731,80544,2026-01-05,35,30,2026-02-04,,IN_GRACE
FDX20251088762,CUST969693,Townsend-Haley,Large,2025-12-11,27404,163517,33298,2026-01-05,25,20,2026-01-25,,IN_GRACE
FDX20252528212,CUST759176,Smith-Rose,Large,2025-12-01,15679,48749,28147,2025-12-26,25,20,2026-01-15,2026-01-06,RESOLVED_IN_GRACE
FDX20253438206,CUST748564,Hickman-Beard,Large,2025-12-13,34839,126019,44336,2026-01-07,25,20,2026-01-27,,ELIGIBLE
FDX20258913286,CUST479201,Galvan-Johnson,Mid,2025-12-18,36574,195808,38333,2026-01-02,15,12,2026-01-14,,ELIGIBLE
FDX20258304421,CUST705397,Bates PLC,Small,2025-12-27,12982,73250,33919,2026-01-06,10,7,2026-01-13,,ELIGIBLE
FDX20252478755,CUST301629,Avila-Mullins,Mid,2026-01-01,24090,141388,101348,2026-01-16,15,12,2026-01-28,,ELIGIBLE
FDX20252075091,CUST838797,Reese Ltd,Mid,2026-01-04,38709,225145,161499,2026-01-19,15,12,2026-01-31,,ELIGIBLE
FDX20255413951,CUST172933,Wilkerson-Perry,Mid,2025-12-13,51934,189440,171307,2025-12-28,15,12,2026-01-09,,ELIGIBLE
FDX20254720687,CUST148050,Best-White,Small,2025-12-25,53709,284021,104975,2026-01-04,10,7,2026-01-11,,ELIGIBLE
FDX20257221581,CUST793384,Davis-Luna,Small,2026-01-06,40929,196432,169081,2026-01-16,10,7,2026-01-23,2026-01-23,RESOLVED_IN_GRACE
FDX20252342843,CUST338968,Adams-Burns,Mega,2025-12-01,39436,181387,130205,2026-01-05,35,30,2026-02-04,2026-01-08,RESOLVED_IN_GRACE
FDX20251633429,CUST910620,"Aguilar, Cook and Anthony",Large,2025-12-15,38483,134492,71887,2026-01-09,25,20,2026-01-29,2026-01-24,RESOLVED_IN_GRACE
