invoice_id,customer_id,customer_name,business_segment,invoice_date,invoice_amount,credit_limit,credit_used,due_date,payment_terms_days,grace_period_days,handover_date,payment_date,handover_eligibility
FDX20251020136,CUST770487,Lawson-Greene,Small,2026-01-03,4639,22522,7267,2026-01-13,10,7,2026-01-20,,IN_GRACE
FDX20258239315,CUST216739,Mendez Inc,Small,2025-12-26,52865,161282,140319,2026-01-05,10,7,2026-01-12,2026-01-12,RESOLVED_IN_GRACE
FDX20259758448,CUST126225,Keith-Williams,Large,2025-12-14,50641,141120,61541,2026-01-08,25,20,2026-01-28,,ELIGIBLE
FDX20258057906,CUST877572,Burton-Lyons,Small,2025-12-22,55106,223408,166289,2026-01-01,10,7,2026-01-08,2026-01-02,RESOLVED_IN_GRACE
FDX20257213902,CUST388389,"Hunter, Phillips and Massey",Small,2026-01-03,28715,81016,67081,2026-01-13,10,7,2026-01-20,,ELIGIBLE
FDX20251728773,CUST356787,Suarez-Allen,Small,2026-01-10,31625,104296,65431,2026-01-20,10,7,2026-01-27,,ELIGIBLE
FDX20259888846,CUST334053,Howe-Gutierrez,Small,2026-01-05,53128,198979,187940,2026-01-15,10,7,2026-01-22,2026-01-16,RESOLVED_IN_GRACE
FDX20258196691,CUST246316,Martinez-Swanson,Large,2025-12-03,10630,32323,18199,2025-12-28,25,20,2026-01-17,,IN_GRACE
FDX20254850140,CUST872246,Adkins-Foley,Mid,2026-01-03,1579,4331,3856,2026-01-18,15,12,2026-01-30,,IN_GRACE
FDX20259088689,CUST207473,Powers-Campbell,Large,2025-12-01,35054,105976,60379,2025-12-26,25,20,2026-01-15,2026-01-12,RESOLVED_IN_GRACE
FDX20257396087,CUST809570,Swanson-Robertson,Small,2026-01-11,57447,223034,155873,2026-01-21,10,7,2026-01-28,,IN_GRACE
FDX20256880713,CUST876646,"Ritter, Rodriguez and Flores",Large,2025-12-01,56039,290295,219746,2025-12-26,25,20,2026-01-15,,IN_GRACE
FDX20252639417,CUST671858,Coleman-Kramer,Small,2025-12-30,4857,25409,20522,2026-01-09,10,7,2026-01-16,,IN_GRACE
FDX20258138527,CUST191161,Fry-Sparks,Small,2025-12-27,9879,37584,31959,2026-01-06,10,7,2026-01-13,,IN_GRACE
FDX20253246185,CUST719176,Morrison-Turner,Small,2025-12-29,15790,44296,17800,2026-01-08,10,7,2026-01-15,,ELIGIBLE
FDX20255270103,CUST542417,Lewis-Simmons,Small,2026-01-04,18781,81345,53464,2026-01-14,10,7,2026-01-21,,IN_GRACE
FDX20259005101,CUST133326,Ramirez-Skinner,Mid,2025-12-31,9683,56568,54002,2026-01-15,15,12,2026-01-27,,ELIGIBLE
FDX20254900918,CUST131244,"Castillo, Morales and Savage",Mega,2025-12-01,59759,271609,224410,2026-01-05,35,30,2026-02-04,,ELIGIBLE
