customer_id,customer_name,business_segment,invoice_number,invoice_date,invoice_amount,credit_limit,credit_used,due_date,payment_date,amount_paid,payment_status
CUST411426,Henderson Corporation,Small,FDX2025898332,2025-12-13,5295,13319,6445,2025-12-28,,,Unpaid
CUST544526,Song Corporation,Mid,FDX2025424364,2025-12-10,25067,75686,25067,2025-12-30,2025-12-25,25067,Paid
CUST633360,Acosta Inc,Mid,FDX2025322403,2025-12-03,4620,59415,19844,2025-12-23,2025-12-16,4620,Paid
CUST492147,Herman Equipment,Large,FDX2025693661,2025-12-01,62611,309741,62611,2025-12-31,,,Unpaid
CUST770891,Martinez-Spencer Manufacturing,Large,FDX2025563843,2025-12-01,202948,720878,439370,2025-12-31,2025-12-26,202948,Paid
CUST871579,When International,Small,FDX2025139212,2025-12-08,3623,20649,3623,2025-12-23,,,Unpaid
CUST318419,Stone Pharmaceuticals,Mid,FDX2025613717,2025-12-02,56819,182108,56819,2025-12-22,2025-12-15,56819,Paid
CUST309422,"Faulkner, Wholesale",Small,FDX2025894806,2025-12-02,5746,43998,11227,2025-12-17,,,Unpaid
CUST521781,Look Manufacturing,Small,FDX2025984649,2025-12-14,3606,29918,6276,2025-12-29,2025-12-26,3606,Paid
CUST170499,Under Manufacturing,Small,FDX2025650012,2025-12-14,6605,40831,13534,2025-12-29,,,Unpaid
CUST978604,Leebury Medical,Small,FDX2025993132,2025-12-03,1649,35674,3714,2025-12-18,2025-12-13,1649,Paid
CUST206872,Dixon Healthcare,Mid,FDX2025340662,2025-12-11,6631,90961,6631,2025-12-31,2025-12-24,6631,Paid
CUST663721,Activity Manufacturing,Mega,FDX2025401368,2025-12-01,330991,2205499,1308711,2025-12-31,2025-12-31,330991,Paid
CUST684975,Foot Trading,Small,FDX2025578945,2025-12-02,7675,20515,11570,2025-12-17,,,Unpaid
CUST176461,Ferguson-Ortiz,Mid,FDX2025935733,2025-12-08,47377,247248,47377,2025-12-28,2025-12-25,47377,Paid
CUST843622,Young Logistics,Mid,FDX2025471745,2025-12-10,71457,229050,71457,2025-12-30,,,Unpaid
CUST840801,Snow Trading,Small,FDX2025656567,2025-12-11,2052,7429,2052,2025-12-26,2025-12-26,2052,Paid
CUST623115,Maryland Distribution,Large,FDX2025842845,2025-12-01,158980,729254,259473,2025-12-31,2025-12-26,158980,Paid
CUST869276,Cruztown Group,Large,FDX2025774100,2025-12-01,51250,311873,51250,2025-12-31,2025-12-24,51250,Paid
CUST867784,Program Healthcare,Mega,FDX2025406786,2025-12-01,254413,1241506,254413,2025-12-31,2025-12-26,254413,Paid
CUST501029,Cohen-Roberts,Small,FDX2025424551,2025-12-16,4559,18764,8398,2025-12-31,2025-12-24,4559,Paid
CUST591783,Hoffman Pharmaceuticals,Small,FDX2025262306,2025-12-02,795,7418,2551,2025-12-17,,,Unpaid
CUST815556,Buy Industries,Small,FDX2025245472,2025-12-03,4944,16499,12803,2025-12-18,,,Unpaid
CUST816529,"Banks, Oneal and Meyer",Mega,FDX2025575451,2025-12-01,474251,2789523,777578,2025-12-31,2025-12-24,474251,Paid
CUST251318,Austinville Systems,Small,FDX2025285409,2025-12-12,4619,14103,10191,2025-12-27,2025-12-26,4619,Paid
CUST868228,Lambert Enterprises,Mid,FDX2025854460,2025-12-02,27096,90547,27096,2025-12-22,2025-12-17,27096,Paid
CUST204211,"Salazar, Corporation",Mega,FDX2025602656,2025-12-01,54860,2204953,468958,2025-12-31,2025-12-24,54860,Paid
