invoice_id,customer_id,customer_name,business_segment,invoice_date,invoice_amount,credit_limit,credit_used,due_date,payment_terms_days,grace_period_days,handover_date,payment_date,handover_eligibility
FDX20251020136,CUST770487,Rodriguez-Cook,Small,2026-01-09,21889,131216,45496,2026-01-19,10,7,2026-01-26,,IN_GRACE
FDX20258239315,CUST216739,Bowers-Spears,Small,2025-12-25,26713,148899,79694,2026-01-04,10,7,2026-01-11,2026-01-07,RESOLVED_IN_GRACE
FDX20259758448,CUST126225,Shah LLC,Large,2025-12-17,15553,86024,66135,2026-01-11,25,20,2026-01-31,,ELIGIBLE
FDX20258057906,CUST877572,Bradley-Bowen,Small,2025-12-22,48530,150598,145483,2026-01-01,10,7,2026-01-08,2026-01-06,RESOLVED_IN_GRACE
FDX20257213902,CUST388389,Thomas-Guerra,Small,2025-12-24,32801,166883,152433,2026-01-03,10,7,2026-01-10,,ELIGIBLE
FDX20251728773,CUST356787,Jones-Rowland,Small,2026-01-13,16924,49110,31814,2026-01-23,10,7,2026-01-30,,ELIGIBLE
FDX20259888846,CUST334053,"Klein, Anderson and Hodges",Small,2025-12-28,15685,76431,72639,2026-01-07,10,7,2026-01-14,2026-01-10,RESOLVED_IN_GRACE
FDX20258196691,CUST246316,Solis-King,Large,2025-12-10,51526,240900,233577,2026-01-04,25,20,2026-01-24,,IN_GRACE
FDX20254850140,CUST872246,Rogers-Booker,Mid,2026-01-03,11643,47001,44841,2026-01-18,15,12,2026-01-30,,IN_GRACE
FDX20259088689,CUST207473,Peters-Hutchinson,Large,2025-12-01,33960,178964,73867,2025-12-26,25,20,2026-01-15,2026-01-02,RESOLVED_IN_GRACE
FDX20257396087,CUST809570,Montgomery-Martin,Small,2026-01-14,53455,280478,269116,2026-01-24,10,7,2026-01-31,,IN_GRACE
FDX20256880713,CUST876646,Coleman-Perez,Large,2025-12-04,24371,129877,73669,2025-12-29,25,20,2026-01-18,,IN_GRACE
FDX20252639417,CUST671858,Chavez-Martinez,Small,2026-01-10,57718,230689,121576,2026-01-20,10,7,2026-01-27,,IN_GRACE
FDX20258138527,CUST191161,Martin-Smith,Small,2026-01-13,56261,303635,96482,2026-01-23,10,7,2026-01-30,,IN_GRACE
FDX20253246185,CUST719176,Russell-Moore,Small,2026-01-02,58238,271204,230952,2026-01-12,10,7,2026-01-19,,ELIGIBLE
FDX20255270103,CUST542417,Hughes-Haynes,Small,2025-12-27,54719,238514,199791,2026-01-06,10,7,2026-01-13,,IN_GRACE
FDX20259005101,CUST133326,Campbell-Cooper,Mid,2025-12-30,31203,165010,55448,2026-01-14,15,12,2026-01-26,,ELIGIBLE
FDX20254900918,CUST131244,Gomez-Fisher,Mega,2025-12-01,18590,92435,28845,2026-01-05,35,30,2026-02-04,,ELIGIBLE
FDX20252406225,CUST198246,Mcdonald-Kelly,Large,2025-12-01,17322,61227,55103,2025-12-26,25,20,2026-01-15,,ELIGIBLE
FDX20255752426,CUST329258,Green-Zavala,Mid,2026-01-01,14656,44790,43968,2026-01-16,15,12,2026-01-28,,IN_GRACE
FDX20257855954,CUST343962,Nunez-Morales,Small,2026-01-13,51641,255351,211275,2026-01-23,10,7,2026-01-30,,IN_GRACE
FDX20255325249,CUST629903,Atkinson-Hebert,Small,2025-12-28,27092,125443,31466,2026-01-07,10,7,2026-01-14,,IN_GRACE
